item_id,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,FilmNoir,Horror,Musical,Mystery,Romance,SciFi,Thriller,War,Western,year,month
2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,1
4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,1
5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1995,1
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,1
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1995,1
8,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,1
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,1
10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1996,1
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1995,1
12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1995,8
13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,10
14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1994,1
15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,1
16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,1
17,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1996,2
18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,1
19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,1
20,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,1
21,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1996,2
22,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1996,2
23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1996,2
24,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1996,2
25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,3
26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,1
27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,1
